SN,Degree,Course,Year,Letter Grade,Score,Gender
1,B.Des,CAC,2,A,8,F
2,B.Des,CAC,2,O,9.6,F
3,B.Des,IADP,2,A+,9.2,F
4,B.Des,CE,2,O,9.8,F
5,B.Des,BSSD,2,P,3,M
6,B.Des,CAC,2,O,9.5,F
7,B.Des,PSD,2,A+,9,F
8,B.Des,PSD,2,A+,9,F
9,B.Des,PSD,2,A+,9,F
10,B.Des,BSSD,3,A+,9,F
11,B.Des,VCSB,2,A,8,F
12,B.Des,VCSB,2,A,8,F
13,B.Des,IAIDP,3,A,8,M
14,B.Des,IAIDP,3,B+,7,M
15,B.Des,VCSB,2,B+,7,F
16,B.Des,HCD,3,A+,9,M
17,B.Des,CAC,3,A+,9.1,F
18,B.Des,VCSB,2,A,8,M
19,B.Des,CE,2,A+,9,F
20,B.Des,CAC,2,A+,9,M
21,B.Des,IADP,2,A,8,F
22,B.Des,IADP,3,B+,7,M
23,B.Des,VCSB,3,A+,9,F
24,B.Des,CE,2,O,10,F
25,B.Des,CAC,3,A+,9,F
26,B.Des,CAC,3,A+,9,F
27,B.Des,PSD,3,B+,7,F
28,B.Des,PSD,3,A,8,F
29,B.Des,CAC,2,A+,9,F
30,B.Des,HCD,2,A,8,F
31,B.Voc,UIID,3,O,9.5,F
32,B.Voc,UIID,3,A+,9,F
33,B.Voc,UIID,3,A+,9,M
34,B.Voc,UIID,3,B+,7,M
35,B.Voc,UIID,3,A,8,F
36,B.Voc,UIID,3,A,8,F
37,B.Voc,ID,3,B+,7,M
38,B.Voc,DMP,3,O,9.5,M
39,B.Voc,DMP,3,B,6.5,M
40,B.Voc,DMP,3,O,9.5,M
41,B.Voc,DMP,3,O,9.5,M
42,B.Voc,DMP,3,A+,9,M
43,B.Voc,DMP,3,O,9.5,F
44,B.Voc,DMP,3,O,9.5,F
45,B.Voc,DMP,3,B,6.5,F
46,B.Voc,DMP,3,C,5,M
47,B.Voc,UIID,1,A+,9,M
48,B.Voc,UIID,1,B,7,F
49,B.Voc,UIID,1,B,7,F
50,B.Voc,UIID,1,A,8,F
51,B.Voc,UIID,1,A,8,F
52,B.Voc,UIID,1,A+,9,F
53,B.Voc,UIID,2,A,8,M
54,B.Voc,GADP,1,A,8,F
55,B.Voc,GADP,2,A,8,M
56,B.Voc,Film,3,A,8,M
57,B.Voc,GADP,3,A+,9,F
58,B.Voc,GADP,3,A+,9,F
59,B.Voc,DMP,2,A,8,M
60,B.Voc,DMP,2,A,8,M
61,B.FA,CAP,3,A,8,F
62,B.FA,CAP,3,A+,9,M
63,B.FA,CAP,3,A+,9,F
64,B.FA,DMA,2,A+,8.5,M
65,B.FA,DMA,2,A,8,M
66,B.FA,DMA,2,A,8,F
67,B.FA,CAP,2,A,8,F
68,B.FA,CAP,2,A+,8,F
69,B.FA,Film,3,B,6,M
70,B.FA,DMA,2,A,8,F
71,B.FA,DMA,2,B+,7,F
72,B.FA,DMA,2,B+,7,F
73,B.FA,DMA,2,A,8,F
74,B.FA,DMA,2,B+,7,F
75,B.FA,DMA,2,B,6,M
76,B.FA,Film,3,A,8,M
77,B.FA,Film,3,A,8,M
78,B.FA,DMA,2,A,8,M
79,B.FA,DMA,2,A,8,M
80,B.FA,DMA,2,B+,7,F
81,B.FA,DMA,2,B+,7,F
82,B.FA,Film,2,A,8,F
83,B.FA,Film,3,B+,7,F
84,B.FA,DMA,2,A+,9,F
85,B.FA,DMA,2,A,8,M
86,B.FA,DMA,2,B+,7,F
87,B.FA,DMA,2,B+,7,F
88,B.FA,DMA,2,B+,7,M
89,B.FA,DMA,2,B+,7,F
90,B.FA,DMA,2,B+,7,F
